,Sample10.mdl,Sample1001.mdl,Sample1002.mdl,Sample1003.mdl,Sample1008.mdl,Sample1011.mdl,Sample1016.mdl,Sample1020.mdl,Sample1022.mdl,Sample1023.mdl,Sample1025.mdl,Sample1028.mdl,Sample1036.mdl,Sample1038.mdl,Sample1039.mdl,Sample1044.mdl,Sample1050.mdl,Sample1053.mdl,Sample1062.mdl,Sample1075.mdl,Sample1076.mdl,Sample1077.mdl,Sample1081.mdl,Sample1083.mdl,Sample1091.mdl,Sample11.mdl,Sample1108.mdl,Sample111.mdl,Sample1115.mdl,Sample1116.mdl,Sample1117.mdl,Sample1124.mdl,Sample1125.mdl,Sample1127.mdl,Sample1129.mdl,Sample1131.mdl,Sample1139.mdl,Sample1146.mdl,Sample1151.mdl,Sample1152.mdl,Sample1153.mdl,Sample1154.mdl,Sample1155.mdl,Sample1162.mdl,Sample1164.mdl,Sample1168.mdl,Sample117.mdl,Sample1170.mdl,Sample1177.mdl,Sample1181.mdl,Sample1184.mdl,Sample1188.mdl,Sample119.mdl,Sample1195.mdl,Sample1198.mdl,Sample120.mdl,Sample143.mdl,Sample144.mdl,Sample145.mdl,Sample146.mdl,Sample149.mdl,Sample151.mdl,Sample155.mdl,Sample161.mdl,Sample165.mdl,Sample170.mdl,Sample174.mdl,Sample178.mdl,Sample180.mdl,Sample184.mdl,Sample187.mdl,Sample19.mdl,Sample194.mdl,Sample2.mdl,Sample200.mdl,Sample21.mdl,Sample210.mdl,Sample211.mdl,Sample215.mdl,Sample217.mdl,Sample226.mdl,Sample231.mdl,Sample232.mdl,Sample235.mdl,Sample240.mdl,Sample245.mdl,Sample246.mdl,Sample248.mdl,Sample25.mdl,Sample26.mdl,Sample261.mdl,Sample274.mdl,Sample276.mdl,Sample279.mdl,Sample282.mdl,Sample288.mdl,Sample292.mdl,Sample295.mdl,Sample298.mdl,Sample299.mdl,Sample30.mdl,Sample301.mdl,Sample303.mdl,Sample307.mdl,Sample31.mdl,Sample314.mdl,Sample317.mdl,Sample319.mdl,Sample324.mdl,Sample327.mdl,Sample328.mdl,Sample333.mdl,Sample334.mdl,Sample335.mdl,Sample339.mdl,Sample343.mdl,Sample344.mdl,Sample345.mdl,Sample351.mdl,Sample354.mdl,Sample355.mdl,Sample360.mdl,Sample362.mdl,Sample363.mdl,Sample37.mdl,Sample373.mdl,Sample376.mdl,Sample378.mdl,Sample382.mdl,Sample385.mdl,Sample387.mdl,Sample39.mdl,Sample394.mdl,Sample403.mdl,Sample404.mdl,Sample407.mdl,Sample409.mdl,Sample417.mdl,Sample42.mdl,Sample422.mdl,Sample424.mdl,Sample425.mdl,Sample43.mdl,Sample432.mdl,Sample435.mdl,Sample436.mdl,Sample44.mdl,Sample443.mdl,Sample445.mdl,Sample446.mdl,Sample448.mdl,Sample452.mdl,Sample453.mdl,Sample458.mdl,Sample46.mdl,Sample460.mdl,Sample475.mdl,Sample482.mdl,Sample483.mdl,Sample485.mdl,Sample486.mdl,Sample487.mdl,Sample489.mdl,Sample490.mdl,Sample495.mdl,Sample497.mdl,Sample501.mdl,Sample507.mdl,Sample510.mdl,Sample511.mdl,Sample513.mdl,Sample527.mdl,Sample531.mdl,Sample532.mdl,Sample540.mdl,Sample541.mdl,Sample542.mdl,Sample545.mdl,Sample546.mdl,Sample547.mdl,Sample548.mdl,Sample549.mdl,Sample551.mdl,Sample555.mdl,Sample557.mdl,Sample561.mdl,Sample567.mdl,Sample57.mdl,Sample572.mdl,Sample580.mdl,Sample581.mdl,Sample582.mdl,Sample584.mdl,Sample59.mdl,Sample593.mdl,Sample594.mdl,Sample598.mdl,Sample599.mdl,Sample600.mdl,Sample605.mdl,Sample607.mdl,Sample608.mdl,Sample61.mdl,Sample612.mdl,Sample613.mdl,Sample615.mdl,Sample617.mdl,Sample621.mdl,Sample626.mdl,Sample633.mdl,Sample637.mdl,Sample638.mdl,Sample639.mdl,Sample640.mdl,Sample641.mdl,Sample644.mdl,Sample646.mdl,Sample651.mdl,Sample656.mdl,Sample661.mdl,Sample664.mdl,Sample666.mdl,Sample672.mdl,Sample673.mdl,Sample674.mdl,Sample675.mdl,Sample676.mdl,Sample678.mdl,Sample68.mdl,Sample681.mdl,Sample683.mdl,Sample685.mdl,Sample686.mdl,Sample69.mdl,Sample694.mdl,Sample699.mdl,Sample702.mdl,Sample706.mdl,Sample707.mdl,Sample708.mdl,Sample71.mdl,Sample712.mdl,Sample717.mdl,Sample723.mdl,Sample726.mdl,Sample727.mdl,Sample730.mdl,Sample732.mdl,Sample738.mdl,Sample74.mdl,Sample742.mdl,Sample745.mdl,Sample748.mdl,Sample752.mdl,Sample753.mdl,Sample754.mdl,Sample755.mdl,Sample757.mdl,Sample758.mdl,Sample763.mdl,Sample764.mdl,Sample771.mdl,Sample788.mdl,Sample794.mdl,Sample798.mdl,Sample805.mdl,Sample807.mdl,Sample809.mdl,Sample81.mdl,Sample811.mdl,Sample815.mdl,Sample823.mdl,Sample826.mdl,Sample834.mdl,Sample835.mdl,Sample841.mdl,Sample845.mdl,Sample847.mdl,Sample85.mdl,Sample850.mdl,Sample852.mdl,Sample854.mdl,Sample861.mdl,Sample862.mdl,Sample864.mdl,Sample865.mdl,Sample870.mdl,Sample872.mdl,Sample875.mdl,Sample877.mdl,Sample878.mdl,Sample883.mdl,Sample891.mdl,Sample900.mdl,Sample903.mdl,Sample91.mdl,Sample910.mdl,Sample913.mdl,Sample915.mdl,Sample917.mdl,Sample92.mdl,Sample922.mdl,Sample926.mdl,Sample939.mdl,Sample94.mdl,Sample942.mdl,Sample948.mdl,Sample951.mdl,Sample953.mdl,Sample958.mdl,Sample963.mdl,Sample965.mdl,Sample974.mdl,Sample976.mdl,Sample980.mdl,Sample983.mdl,Sample984.mdl,Sample985.mdl,Sample988.mdl,Sample990.mdl,Sample991.mdl,Sample992.mdl,Sample994.mdl,Sample996.mdl,Sample998.mdl
Sample10.mdl,0,29,49,11,12,11,15,33,22,29,8,5,18,35,29,7,22,32,20,23,19,18,40,5,91,20,12,11,25,8,16,10,10,27,25,26,17,17,9,15,23,13,7,20,21,11,33,23,20,10,13,34,15,12,14,7,34,23,13,31,10,17,9,15,12,28,23,19,10,20,13,36,27,112,20,16,36,15,14,13,16,27,19,15,14,7,19,30,21,37,13,14,9,14,12,21,15,21,23,23,23,29,28,13,25,5,17,8,30,13,25,15,101,9,18,26,19,11,23,69,24,18,28,20,25,32,23,24,31,22,32,26,11,23,16,21,17,24,14,30,119,39,11,20,24,7,14,21,21,22,54,12,12,18,13,18,22,17,17,102,8,26,27,27,14,14,13,15,29,109,17,11,12,7,8,20,29,15,32,19,23,30,17,30,10,14,8,8,22,9,22,16,29,21,10,60,29,19,21,17,26,19,31,33,40,9,12,16,12,44,25,26,13,19,20,13,8,23,11,17,19,14,23,16,14,24,25,13,33,21,26,16,6,38,10,16,22,10,39,21,23,8,22,12,28,20,9,15,13,19,22,20,20,27,22,43,23,21,26,18,19,14,102,27,20,32,26,34,6,35,31,11,25,30,21,27,13,7,75,11,31,16,15,13,14,8,20,8,12,21,26,14,17,9,24,16,25,24,42,28,15,11,23,27,31,16,26,9,115,43,26,35,15,36,23,75,12,29,25,110,17,16,8,21,35
Sample1001.mdl,29,0,46,26,29,28,32,38,35,40,27,26,31,40,38,26,29,47,35,32,32,31,51,28,84,27,31,28,30,27,35,31,25,28,32,33,30,28,28,32,32,26,26,33,26,30,38,30,31,31,30,49,28,29,29,26,43,36,30,36,29,34,28,32,27,35,34,30,27,27,30,47,32,113,29,29,39,34,23,34,23,32,34,26,31,28,34,35,26,44,32,25,28,31,29,42,28,32,30,30,36,32,31,28,34,26,34,27,33,28,30,28,110,28,27,31,32,30,30,70,29,33,31,31,32,35,34,31,40,27,37,35,30,36,27,36,28,31,31,41,118,52,28,35,29,28,27,32,26,33,63,29,29,31,30,29,35,30,30,101,29,37,36,34,33,25,26,32,38,118,30,26,29,26,29,27,34,32,35,28,34,43,28,37,27,27,29,29,29,28,35,31,34,30,31,57,36,30,34,28,29,28,36,46,47,30,23,29,31,47,32,37,30,26,31,32,27,30,26,24,30,25,36,31,29,33,34,34,38,28,31,31,29,51,29,33,35,27,42,30,36,29,31,27,37,33,24,26,32,30,31,33,29,32,29,50,30,34,33,29,26,31,103,40,29,41,33,35,29,44,40,28,36,29,32,36,24,28,68,28,36,27,26,28,29,29,27,27,31,36,31,29,30,30,27,29,34,27,47,33,26,32,30,36,32,31,35,28,110,46,31,40,26,41,32,74,29,38,30,117,34,27,25,28,40
Sample1002.mdl,49,46,0,46,51,50,52,40,49,54,47,46,49,56,60,46,47,65,51,46,48,47,71,48,94,49,49,50,44,47,55,53,47,44,48,53,46,44,50,54,50,44,48,51,50,50,50,50,47,51,46,57,46,49,49,48,55,50,50,46,49,52,50,52,49,55,44,44,49,45,52,63,46,129,45,47,57,56,45,50,43,42,52,44,45,50,54,55,48,60,50,45,50,51,51,56,46,52,46,42,56,56,51,50,50,48,48,47,49,46,50,48,116,50,45,43,52,52,52,54,45,45,51,47,54,53,48,41,58,47,47,53,52,56,49,52,50,47,51,57,132,66,50,55,51,50,47,46,48,47,75,49,47,51,48,49,45,50,44,113,51,45,52,44,53,51,50,54,52,124,44,46,47,46,47,41,40,54,51,48,50,49,50,59,49,45,51,47,51,50,45,53,44,48,49,71,48,48,48,42,45,50,48,64,65,50,49,53,51,61,48,51,54,50,49,50,47,58,46,46,50,47,52,45,49,41,48,56,50,44,53,53,51,65,51,49,49,47,42,42,48,49,45,49,55,47,46,50,50,40,53,51,43,48,43,66,42,48,49,45,42,51,119,52,51,43,55,53,49,60,54,48,54,45,46,48,46,46,78,48,52,45,42,50,51,51,49,49,49,54,53,51,52,50,37,49,50,39,63,47,48,50,46,56,52,49,47,48,118,60,51,54,50,61,52,88,51,46,48,125,50,45,45,50,52
Sample1003.mdl,11,26,46,0,13,12,14,32,23,30,9,8,11,34,30,6,23,31,23,24,20,17,37,8,94,21,11,12,28,9,15,13,11,26,28,27,18,18,10,16,20,18,8,21,24,12,36,26,19,11,14,31,14,13,21,8,37,24,12,30,11,14,10,18,13,27,22,16,7,21,14,39,28,117,21,15,33,16,13,16,17,28,24,16,11,10,20,27,22,40,12,15,14,13,15,22,14,22,26,22,24,28,31,12,26,8,16,7,31,12,26,14,102,10,19,25,20,12,24,68,25,23,25,21,28,31,24,23,36,21,33,27,12,24,17,22,16,25,13,35,124,40,12,23,25,10,13,20,20,21,53,13,15,21,12,19,25,22,20,103,11,27,28,24,15,15,14,16,30,112,20,14,11,8,13,19,26,14,31,20,24,31,18,33,11,13,11,11,23,10,25,19,32,18,13,61,24,22,24,16,25,20,32,36,41,12,13,15,15,43,24,27,16,20,21,12,9,24,12,16,20,13,26,19,15,23,24,20,30,22,27,17,11,35,11,21,23,11,40,22,28,11,23,13,29,23,10,16,14,18,21,21,21,28,23,44,24,26,23,19,18,15,107,28,21,31,27,31,11,34,32,10,28,29,20,26,12,8,76,12,32,17,18,14,13,11,21,9,11,24,27,17,18,12,23,17,24,25,43,25,14,12,22,30,32,19,21,8,118,40,27,34,16,39,24,78,15,30,26,113,22,15,9,20,34
Sample1008.mdl,12,29,51,13,0,11,13,33,24,27,10,9,18,39,33,9,24,32,24,21,17,18,42,11,97,22,8,11,29,8,16,12,12,27,27,28,19,19,9,15,23,17,9,20,23,9,37,21,22,12,15,32,17,14,18,9,38,25,11,31,12,17,9,19,12,30,27,21,10,22,15,42,25,116,24,16,36,15,16,17,18,31,25,17,18,11,21,30,19,39,13,16,15,16,16,25,15,21,27,23,23,31,30,15,27,9,19,10,30,15,23,17,101,11,20,26,23,11,25,69,22,24,30,22,29,34,27,26,33,24,32,30,13,25,18,23,17,24,10,32,123,39,13,20,26,11,16,23,21,26,52,14,16,20,13,20,26,21,19,100,10,28,29,29,14,16,15,17,31,111,21,15,12,7,10,22,31,17,30,21,21,34,17,34,12,16,10,10,22,9,24,18,33,21,12,62,21,21,25,17,28,21,27,35,40,13,14,16,16,44,25,24,15,21,20,11,10,21,13,19,19,16,25,20,16,24,25,17,33,25,30,16,10,40,10,22,22,10,39,25,27,12,24,14,28,24,9,17,15,21,24,24,22,29,24,45,23,25,28,18,21,16,110,31,20,34,28,36,10,37,33,11,29,30,23,27,15,13,75,13,31,18,19,15,12,12,22,10,12,25,28,18,19,9,28,18,27,22,46,28,17,13,25,31,33,22,26,11,119,41,28,37,17,42,25,79,16,35,27,112,23,18,10,19,37
Sample1011.mdl,11,28,50,12,11,0,14,28,21,30,9,8,19,32,28,8,19,27,21,20,14,17,37,10,94,17,11,8,26,9,17,9,9,26,26,25,16,16,8,14,20,12,8,15,20,10,36,22,19,9,14,33,16,11,19,8,33,20,12,30,11,18,8,14,11,25,26,18,9,19,14,35,22,113,21,15,35,16,13,16,15,28,22,14,17,6,14,29,16,36,14,13,14,15,15,22,14,20,24,22,18,28,27,12,22,8,16,9,29,10,22,14,96,10,17,21,20,10,22,68,21,21,27,19,26,31,24,23,30,21,31,27,12,20,15,20,16,23,13,31,116,36,12,19,21,10,13,20,18,21,49,13,15,17,14,15,23,18,18,101,9,25,26,26,13,15,12,16,30,106,18,10,13,8,13,19,28,16,29,18,20,27,14,29,9,15,9,9,19,8,23,19,32,18,13,59,26,20,20,16,25,18,28,28,39,12,11,15,15,43,22,23,16,16,17,12,9,18,12,14,16,13,24,17,11,23,24,18,30,20,27,15,9,33,9,15,23,11,36,20,26,11,21,13,27,21,8,14,14,18,21,19,21,30,21,40,20,24,25,15,18,13,107,30,19,33,25,33,11,36,32,10,26,27,20,24,12,12,74,12,32,15,16,12,15,9,19,9,13,22,23,15,18,12,25,15,24,21,43,25,14,14,22,28,28,19,25,10,116,38,23,32,14,35,20,74,13,34,24,107,16,15,9,18,32
Sample1016.mdl,15,32,52,14,13,14,0,36,27,34,9,12,17,38,36,8,25,35,25,24,22,19,39,12,98,25,13,10,30,11,15,15,13,30,28,27,22,20,12,18,24,20,10,23,24,12,40,28,21,13,16,33,16,15,23,10,39,28,16,34,15,18,10,22,13,31,28,20,13,23,14,43,28,121,25,19,37,16,17,18,21,32,28,20,15,14,20,31,22,38,16,15,16,15,19,26,18,24,28,28,26,32,33,16,28,12,20,9,35,14,26,16,102,14,19,25,26,12,26,72,25,25,31,23,32,37,28,25,36,25,37,31,16,28,19,24,20,25,13,35,126,44,14,21,27,14,17,24,22,27,53,13,15,23,16,23,27,22,24,107,13,31,30,30,15,17,14,18,34,112,22,18,9,12,17,23,32,18,33,22,24,33,20,37,11,15,13,13,27,10,29,21,34,20,15,65,26,26,24,20,23,26,30,38,39,14,17,19,19,47,26,27,18,24,25,10,11,26,14,22,22,17,30,23,17,27,30,18,36,26,33,17,11,39,11,25,23,13,40,26,30,13,25,11,33,27,10,20,16,22,25,27,25,32,27,46,24,26,29,21,18,17,111,32,23,35,29,37,15,36,32,12,32,33,26,32,16,14,78,16,36,19,22,18,17,15,21,9,11,28,31,21,20,16,27,21,28,23,47,29,18,16,26,32,34,25,29,12,118,40,29,36,16,43,28,82,19,38,28,113,26,17,13,22,34
Sample1020.mdl,33,38,40,32,33,28,36,0,35,46,31,30,35,44,40,30,31,49,37,32,30,33,57,32,92,35,33,30,34,31,37,31,29,36,38,35,28,30,30,34,30,28,30,29,36,32,48,34,33,31,34,47,36,33,35,30,41,32,34,26,31,34,30,34,33,39,34,32,27,33,36,51,32,115,35,33,43,38,29,38,25,34,36,28,33,32,38,41,34,46,36,29,34,35,35,42,32,34,38,30,36,40,33,34,36,30,36,31,41,34,36,30,106,30,31,35,36,32,38,48,31,35,39,31,36,39,32,37,42,33,41,35,32,34,31,36,32,35,35,43,126,54,34,35,37,32,31,36,30,33,61,35,37,35,34,33,33,34,32,105,31,33,38,28,33,35,34,36,42,114,30,28,35,30,33,27,30,38,39,30,36,41,28,45,31,33,31,31,35,30,33,39,44,32,35,63,36,32,34,28,37,36,34,46,53,34,31,35,35,49,34,35,36,32,33,34,29,38,32,30,30,29,38,31,31,33,28,40,38,30,37,39,31,47,31,31,37,33,40,28,36,31,33,35,39,27,30,32,34,24,33,35,29,42,29,50,22,40,29,27,32,33,111,40,33,33,39,37,33,48,44,32,36,31,34,36,28,32,66,32,46,29,28,30,35,31,37,31,35,40,39,35,38,34,31,31,34,33,53,37,30,36,32,44,40,33,35,32,122,48,35,38,34,43,34,80,33,46,34,115,32,31,29,30,38
Sample1022.mdl,22,35,49,23,24,21,27,35,0,39,22,21,30,43,39,21,28,42,26,23,25,30,50,23,95,24,24,19,27,22,30,24,20,31,29,28,19,13,21,27,25,19,21,22,25,21,41,29,26,24,27,46,27,24,24,21,38,25,23,35,20,31,21,25,22,34,25,15,22,24,27,44,27,108,28,24,34,29,24,29,20,33,31,13,26,23,29,32,23,43,27,22,27,28,26,31,23,27,27,29,31,35,36,23,27,21,25,22,36,25,29,23,97,23,22,26,23,23,25,67,22,24,32,24,31,30,27,26,31,28,32,32,25,29,26,27,27,28,26,36,121,53,21,26,30,21,22,25,25,22,50,26,26,22,27,22,24,23,19,98,22,30,33,31,26,28,27,27,29,109,21,21,26,21,24,22,31,27,34,17,27,32,21,38,22,28,22,20,28,21,26,32,33,21,24,60,29,25,27,21,32,25,33,35,48,21,22,26,28,46,25,24,29,25,24,25,22,27,23,23,23,24,27,20,26,30,31,29,33,25,34,30,22,50,22,22,26,24,35,25,31,24,24,26,34,26,21,25,25,23,28,28,22,37,24,45,25,29,28,20,21,28,108,29,20,36,32,38,24,43,35,23,27,30,27,27,23,23,73,25,37,20,19,23,28,24,28,22,26,25,30,22,31,25,28,24,27,24,46,32,23,27,21,31,35,22,30,23,119,45,32,37,25,42,29,77,24,39,29,110,25,24,22,27,31
Sample1023.mdl,29,40,54,30,27,30,34,46,39,0,29,28,35,46,50,28,37,43,39,36,32,31,47,30,94,31,31,30,40,27,37,33,29,42,38,39,34,32,30,32,40,36,28,37,38,30,48,36,37,33,30,43,26,29,35,28,49,38,30,40,33,38,30,34,31,43,38,34,31,37,32,49,34,121,37,33,43,36,29,34,35,40,40,30,33,30,34,41,34,54,32,31,32,33,31,40,32,34,38,34,38,42,41,30,42,28,30,29,39,30,36,34,116,30,35,39,38,32,36,76,35,37,41,35,40,43,36,33,46,33,47,37,32,40,33,42,34,37,31,47,120,48,30,35,35,30,33,38,40,39,67,31,33,35,32,37,37,34,32,101,29,41,38,40,35,29,32,34,42,126,30,30,31,26,27,31,36,32,41,36,42,43,36,43,29,33,31,31,37,30,31,33,38,38,29,57,40,36,40,32,41,32,38,54,57,32,29,31,27,57,36,41,32,36,35,32,27,40,32,36,38,31,36,33,29,35,40,36,44,32,45,33,29,43,31,39,39,27,50,34,38,27,33,31,41,35,28,32,32,34,37,39,35,38,39,58,34,36,41,33,34,31,107,44,37,39,41,45,27,48,42,30,40,39,38,36,32,30,82,28,36,31,32,32,31,31,33,29,33,36,41,31,34,30,43,33,40,33,51,39,34,30,36,42,44,35,41,30,114,54,41,50,32,53,36,80,33,40,38,125,38,31,25,36,46
