,times
Squeeze,582
Sin,640
Constant,4390
"('Constant', 'Delay')",466
"('Constant', 'Squeeze')",92
"('Constant', 'Reference')",333
Terminator,220
Scope,342
Ground,63
Step,56
SubSystem,6269
Inport,14650
DataTypeConversion,2084
Abs,573
Outport,10716
"('DiscreteZeroPole', 'Outport')",253
"('Inport', 'Reference')",1862
"('Inport', 'Trigonometry')",305
"('Abs', 'DataTypeConversion')",2
"('DataTypeConversion', 'DiscreteZeroPole')",141
"('Reference', 'Outport')",1009
"('Outport', 'Abs')",85
"('Inport', 'Outport')",2041
"('DataTypeConversion', 'Outport')",71
"('Inport', 'DiscreteZeroPole')",394
"('DataTypeConversion', 'Delay')",344
"('Reference', 'DataTypeConversion')",188
"('DiscreteZeroPole', 'Inport')",74
"('Abs', 'Reference')",60
Rounding,604
Product,1830
Sqrt,1176
Sum,2237
If,617
"('Product', 'Delay')",190
"('Constant', 'Sum')",343
"('Product', 'Sqrt')",94
"('Sqrt', 'If')",85
"('Product', 'Reference')",259
"('Inport', 'Inport')",706
"('Sum', 'If')",2
"('If', 'Inport')",41
"('Constant', 'If')",10
"('If', 'Sqrt')",90
"('Sqrt', 'Constant')",20
"('Inport', 'If')",130
"('Sqrt', 'Sqrt')",36
"('Sum', 'Outport')",595
"('Outport', 'Inport')",395
Assignment,547
DotProduct,648
Display,179
UniformRandomNumber,63
"('Delay', 'Product')",176
"('Product', 'Assignment')",8
"('Trigonometry', 'Product')",33
"('Inport', 'Assignment')",127
"('Inport', 'Sqrt')",245
"('Assignment', 'Outport')",42
"('If', 'Reference')",2
"('Sqrt', 'Trigonometry')",45
"('Assignment', 'Reference')",98
"('Delay', 'Outport')",1495
"('If', 'Delay')",92
"('Sqrt', 'Product')",98
"('Inport', 'Product')",315
"('Trigonometry', 'Sqrt')",35
"('If', 'Trigonometry')",2
"('Sqrt', 'Assignment')",26
"('Assignment', 'Inport')",46
"('Sqrt', 'Reference')",169
"('Reference', 'Assignment')",106
"('Inport', 'Delay')",1742
"('Assignment', 'Delay')",106
"('Reference', 'If')",33
"('Trigonometry', 'Inport')",112
"('Product', 'Inport')",55
"('Sqrt', 'Inport')",89
"('Sqrt', 'Delay')",212
"('Delay', 'Inport')",1197
"('Constant', 'Rounding')",8
"('Sqrt', 'Terminator')",5
"('Reference', 'Sqrt')",170
Bias,597
Math,597
"('Sum', 'DotProduct')",8
"('Inport', 'DotProduct')",138
"('DotProduct', 'Outport')",175
"('Reference', 'Math')",14
"('Reference', 'Sum')",426
"('Math', 'Sum')",10
"('Reference', 'Inport')",590
"('Reference', 'DotProduct')",23
"('Inport', 'Sum')",738
"('Outport', 'Reference')",513
"('Outport', 'Delay')",1131
"('Inport', 'Math')",38
MinMax,552
"('Constant', 'Display')",12
"('Reference', 'Abs')",83
"('Abs', 'MinMax')",3
"('MinMax', 'Delay')",110
"('Delay', 'Sqrt')",169
"('DiscreteStateSpace', 'Sqrt')",6
"('Inport', 'DiscreteStateSpace')",85
"('Outport', 'DiscreteStateSpace')",38
Gain,597
"('Constant', 'Outport')",355
"('Signum', 'Gain')",4
"('Product', 'Outport')",280
"('Reference', 'Product')",296
"('Constant', 'DiscreteZeroPole')",98
"('DiscreteZeroPole', 'DotProduct')",2
"('Outport', 'Constant')",237
"('Constant', 'Constant')",96
"('DotProduct', 'Constant')",11
"('Delay', 'Constant')",380
"('Constant', 'DotProduct')",24
"('Inport', 'Constant')",421
"('Outport', 'DiscreteZeroPole')",142
"('Constant', 'Inport')",225
"('Outport', 'Outport')",875
"('Outport', 'DotProduct')",135
"('Product', 'Scope')",3
"('Product', 'MinMax')",62
"('MinMax', 'Terminator')",40
"('Polyval', 'Product')",49
"('Polyval', 'MinMax')",3
UnaryMinus,551
PermuteDimensions,605
Reshape,635
"('Inport', 'Reshape')",72
"('MinMax', 'DataTypeConversion')",2
"('DataTypeConversion', 'MinMax')",3
"('Inport', 'DataTypeConversion')",241
"('Outport', 'MinMax')",32
"('MinMax', 'Outport')",101
"('Delay', 'MinMax')",113
"('Abs', 'Outport')",78
"('Abs', 'Delay')",40
"('Inport', 'Abs')",105
"('DiscreteZeroPole', 'MinMax')",2
"('Delay', 'Abs')",55
"('MinMax', 'Abs')",2
"('Inport', 'MinMax')",215
Clock,58
"('Delay', 'Sum')",624
"('Sum', 'Delay')",667
"('Sum', 'Product')",289
"('Sum', 'Sum')",201
"('Product', 'Product')",88
"('DataTypeConversion', 'Product')",4
"('Product', 'DiscreteZeroPole')",82
"('Product', 'Sum')",252
"('DiscreteFilter', 'Sqrt')",95
"('Inport', 'DiscreteFilter')",168
"('Assignment', 'DiscreteFilter')",5
"('Inport', 'SubSystem')",310
"('SubSystem', 'DiscreteFilter')",13
"('SubSystem', 'Sqrt')",34
"('SubSystem', 'Delay')",521
"('Assignment', 'SubSystem')",31
"('Inport', 'DiscreteTransferFcn')",66
"('Inport', 'ComplexToRealImag')",106
"('ComplexToRealImag', 'Outport')",78
"('Sin', 'UnitDelay')",4
"('DiscreteTransferFcn', 'Outport')",72
"('Inport', 'Sin')",116
"('Outport', 'Sin')",30
"('Sin', 'Delay')",72
"('Delay', 'Display')",19
"('Constant', 'Assignment')",14
"('Abs', 'Product')",6
"('Product', 'Trigonometry')",28
"('Trigonometry', 'Sum')",172
"('Sum', 'DiscreteZeroPole')",123
"('Sum', 'Reference')",440
"('Rounding', 'Sum')",7
"('Squeeze', 'Signum')",39
"('Reference', 'Rounding')",11
"('Display', 'Reference')",64
"('Delay', 'UnaryMinus')",48
"('UnaryMinus', 'Delay')",79
"('Constant', 'UnaryMinus')",47
"('UnaryMinus', 'Reference')",60
"('Outport', 'UnaryMinus')",26
"('DotProduct', 'Delay')",71
"('Inport', 'DiscreteFir')",266
"('Delay', 'DotProduct')",76
"('DotProduct', 'DiscreteFir')",94
"('DiscreteZeroPole', 'PermuteDimensions')",2
"('Constant', 'Product')",174
"('PermuteDimensions', 'Outport')",81
