,times
Squeeze,442
Sin,461
Constant,3356
"('Constant', 'Delay')",364
"('Constant', 'Squeeze')",87
"('Constant', 'Reference')",246
Rounding,466
SubSystem,4112
Inport,11142
Abs,435
Product,1408
Outport,7775
Sqrt,890
Sum,1703
If,415
"('Inport', 'Reference')",1209
"('Product', 'Delay')",116
"('Constant', 'Sum')",309
"('Product', 'Sqrt')",84
"('Sqrt', 'If')",85
"('Product', 'Reference')",217
"('Inport', 'Inport')",511
"('If', 'Inport')",34
"('Constant', 'If')",3
"('If', 'Sqrt')",89
"('Sqrt', 'Constant')",16
"('Inport', 'If')",128
"('Sqrt', 'Sqrt')",28
"('Sum', 'Outport')",528
"('Outport', 'Inport')",253
Terminator,83
"('Constant', 'Rounding')",3
"('Sqrt', 'Terminator')",2
"('Reference', 'Sqrt')",144
MinMax,411
Scope,108
Display,65
"('Constant', 'Display')",4
"('Reference', 'Abs')",77
"('MinMax', 'Delay')",89
Math,462
"('Inport', 'Outport')",1020
"('DiscreteStateSpace', 'Sqrt')",2
"('Sqrt', 'Inport')",72
"('Inport', 'DiscreteStateSpace')",46
"('Inport', 'DiscreteZeroPole')",222
"('Inport', 'Delay')",1280
"('Reference', 'Outport')",770
"('Sqrt', 'Delay')",155
"('Outport', 'DiscreteStateSpace')",26
"('DiscreteZeroPole', 'Inport')",60
Gain,468
DataTypeConversion,2010
"('Constant', 'Outport')",219
"('Signum', 'Gain')",2
"('Reference', 'DataTypeConversion')",178
Step,26
"('Product', 'MinMax')",54
"('MinMax', 'Terminator')",40
"('Polyval', 'Product')",48
"('Polyval', 'MinMax')",2
Assignment,415
"('Delay', 'Display')",14
"('Reference', 'Assignment')",89
"('Assignment', 'DiscreteFilter')",3
"('Constant', 'Assignment')",2
"('Product', 'Trigonometry')",27
"('Delay', 'Product')",93
"('Trigonometry', 'Sum')",167
"('Sum', 'DiscreteZeroPole')",118
"('Reference', 'Sum')",383
"('Sum', 'Reference')",407
"('Outport', 'Delay')",910
"('Delay', 'Sum')",542
"('Delay', 'Outport')",1201
"('Rounding', 'Sum')",3
"('Squeeze', 'Signum')",39
"('Reference', 'Rounding')",3
"('Display', 'Reference')",62
Ground,23
Reshape,493
DotProduct,476
"('DotProduct', 'Delay')",36
"('Inport', 'DotProduct')",82
"('Outport', 'Outport')",784
"('Inport', 'DiscreteFir')",212
"('Delay', 'DotProduct')",41
"('DotProduct', 'Outport')",147
"('DotProduct', 'DiscreteFir')",90
"('Delay', 'Inport')",837
"('DiscreteTransferFcn', 'Outport')",30
"('Constant', 'DiscreteIntegrator')",8
"('Reference', 'Constant')",154
"('Outport', 'Reference')",436
"('Signum', 'Outport')",71
"('Inport', 'MinMax')",176
"('MinMax', 'Sum')",113
"('MinMax', 'Outport')",75
"('Delay', 'MinMax')",79
"('Outport', 'Signum')",45
RandomNumber,19
PermuteDimensions,441
UnaryMinus,416
DigitalClock,32
"('RandomNumber', 'Outport')",3
"('RandomNumber', 'Reference')",3
"('Reference', 'PermuteDimensions')",6
"('PermuteDimensions', 'UnaryMinus')",2
"('UnaryMinus', 'ComplexToMagnitudeAngle')",2
"('Outport', 'Sum')",369
"('Reference', 'UnaryMinus')",47
"('UnaryMinus', 'Reference')",49
"('Reference', 'Terminator')",109
"('DataTypeConversion', 'DiscreteFilter')",11
"('Sum', 'Display')",3
"('PermuteDimensions', 'Reference')",5
"('Constant', 'PermuteDimensions')",29
"('Constant', 'Terminator')",104
UniformRandomNumber,26
"('Delay', 'UnaryMinus')",25
"('Inport', 'UnaryMinus')",50
"('DiscreteIntegrator', 'Outport')",4
"('UnaryMinus', 'Delay')",47
ToWorkspace,65
"('Inport', 'Constant')",336
"('Inport', 'SubSystem')",186
"('Delay', 'Constant')",332
"('Outport', 'Constant')",198
"('SubSystem', 'Inport')",101
"('Constant', 'Inport')",144
"('SubSystem', 'Outport')",85
"('SubSystem', 'Constant')",9
"('SubSystem', 'SubSystem')",106
"('SubSystem', 'Delay')",307
"('Reference', 'Inport')",469
"('Outport', 'SubSystem')",23
"('Delay', 'SubSystem')",327
Record,7
"('Reference', 'Scope')",7
"('Reference', 'Reshape')",7
"('Reference', 'Record')",69
"('Reshape', 'Delay')",123
"('Constant', 'Product')",145
"('Product', 'DiscreteFir')",42
"('ComplexToRealImag', 'Product')",3
"('DiscreteFir', 'Sum')",3
"('Sqrt', 'UnitDelay')",2
"('Sum', 'ComplexToMagnitudeAngle')",114
"('DiscreteIntegrator', 'Sum')",2
"('Sum', 'Squeeze')",130
"('Delay', 'DataTypeConversion')",336
"('Product', 'Sum')",232
"('DataTypeConversion', 'Delay')",330
"('Scope', 'Delay')",3
"('DiscreteZeroPole', 'Outport')",212
"('Rounding', 'DiscreteIntegrator')",2
"('DiscreteIntegrator', 'DataTypeConversion')",9
"('Math', 'Reference')",5
"('Product', 'Outport')",228
"('Constant', 'Math')",4
Bias,436
"('Product', 'Product')",75
"('Sqrt', 'Sum')",99
"('Sum', 'Sum')",177
"('Reference', 'Product')",249
"('DiscreteFilter', 'Product')",70
"('Outport', 'DiscreteFilter')",152
"('Outport', 'Product')",146
"('DiscreteFilter', 'Sqrt')",88
"('DiscreteFilter', 'Constant')",10
"('Sum', 'Delay')",589
"('Delay', 'Sqrt')",123
"('Inport', 'DiscreteFilter')",123
"('Sqrt', 'Polyval')",34
"('Sqrt', 'DiscreteFilter')",115
"('Product', 'Polyval')",47
"('DiscreteFilter', 'Outport')",227
"('Sqrt', 'Outport')",245
"('Inport', 'Product')",210
"('Sum', 'Sqrt')",71
"('Inport', 'Polyval')",28
"('Sum', 'DiscreteFilter')",68
"('Sqrt', 'Product')",91
"('Constant', 'Polyval')",10
"('Sum', 'Product')",272
"('Outport', 'Sqrt')",181
"('Product', 'DiscreteFilter')",72
"('Polyval', 'Outport')",52
"('Outport', 'Polyval')",37
"('Inport', 'Sqrt')",194
"('Polyval', 'Sum')",55
"('DiscreteFilter', 'Sum')",53
"('Polyval', 'Sqrt')",29
"('Product', 'Constant')",118
"('Sum', 'Constant')",239
"('Constant', 'Sqrt')",12
"('Sqrt', 'Reference')",138
"('Inport', 'Sum')",607
"('Constant', 'DiscreteFilter')",14
"('Sum', 'Polyval')",32
"('Polyval', 'Constant')",7
"('DotProduct', 'Product')",2
"('Constant', 'DotProduct')",8
"('DotProduct', 'Reference')",10
"('Product', 'DotProduct')",3
"('SubSystem', 'Reference')",185
"('Reference', 'DotProduct')",5
"('Product', 'SubSystem')",5
"('Outport', 'DotProduct')",121
"('Constant', 'Constant')",74
"('DotProduct', 'Inport')",26
"('Reference', 'SubSystem')",190
"('DotProduct', 'Constant')",3
"('Inport', 'ToWorkspace')",61
"('DigitalClock', 'Inport')",46
"('UnaryMinus', 'Scope')",2
"('Inport', 'Gain')",10
"('Step', 'Reference')",5
"('PermuteDimensions', 'Delay')",68
"('Signum', 'Terminator')",41
"('Constant', 'Signum')",72
"('Polyval', 'Math')",2
"('DiscreteFir', 'MinMax')",2
"('Math', 'Delay')",9
"('DiscreteFir', 'Outport')",315
"('Outport', 'DiscreteTransferFcn')",7
"('Inport', 'DiscreteTransferFcn')",18
"('Outport', 'DiscreteFir')",251
"('Reference', 'Gain')",4
"('Reference', 'Math')",2
"('Inport', 'S-Function')",7
"('S-Function', 'Outport')",5
"('If', 'Rounding')",2
"('Outport', 'Rounding')",3
"('Rounding', 'Outport')",2
"('Rounding', 'Reference')",4
"('Rounding', 'DotProduct')",2
"('If', 'DotProduct')",75
"('Inport', 'Rounding')",3
"('Rounding', 'Inport')",4
"('If', 'Outport')",237
Clock,23
"('Reference', 'ToWorkspace')",55
"('Product', 'Assignment')",4
"('Assignment', 'Delay')",76
"('MinMax', 'Reference')",92
"('Sum', 'MinMax')",138
"('Reference', 'MinMax')",110
"('Ground', 'Reference')",2
"('Assignment', 'Outport')",25
"('Ground', 'Delay')",3
"('Bias', 'UnitDelay')",2
"('Trigonometry', 'Outport')",245
"('NotInPairs', 'NotInPairs')",2
"('Gain', 'Outport')",8
"('Inport', 'Signum')",118
"('Inport', 'Math')",7
"('Inport', 'ComplexToMagnitudeAngle')",112
"('Sum', 'DotProduct')",2
"('ComplexToMagnitudeAngle', 'Sum')",100
"('ComplexToMagnitudeAngle', 'Outport')",158
"('Sum', 'SubSystem')",11
"('Constant', 'Scope')",2
"('PermuteDimensions', 'Sqrt')",2
"('DigitalClock', 'Scope')",2
"('Math', 'Outport')",5
"('Math', 'Inport')",3
"('unknown', 'Outport')",10
"('DigitalClock', 'Reference')",41
"('DigitalClock', 'Product')",2
"('Product', 'DiscreteIntegrator')",5
"('unknown', 'Constant')",7
"('DiscreteIntegrator', 'Constant')",2
"('Inport', 'unknown')",18
"('Outport', 'DiscreteIntegrator')",5
"('unknown', 'Inport')",19
"('Constant', 'UnaryMinus')",42
"('Sum', 'Sin')",42
"('Sin', 'Squeeze')",102
"('PermuteDimensions', 'Sin')",30
"('Inport', 'Squeeze')",273
"('Squeeze', 'Sum')",115
"('Squeeze', 'Delay')",202
"('Inport', 'Sin')",98
"('Squeeze', 'Squeeze')",84
"('Squeeze', 'Outport')",109
"('Squeeze', 'Constant')",100
"('Squeeze', 'MinMax')",63
"('Sum', 'Inport')",187
"('Sin', 'PermuteDimensions')",40
"('PermuteDimensions', 'Squeeze')",76
"('PermuteDimensions', 'MinMax')",30
"('Delay', 'PermuteDimensions')",64
"('MinMax', 'Inport')",60
"('PermuteDimensions', 'Constant')",29
"('Squeeze', 'Sin')",66
"('Inport', 'PermuteDimensions')",65
"('Squeeze', 'PermuteDimensions')",59
"('Sin', 'MinMax')",24
"('Constant', 'Sin')",23
"('Squeeze', 'Inport')",102
"('MinMax', 'PermuteDimensions')",40
"('PermuteDimensions', 'Sum')",39
"('Delay', 'Squeeze')",157
"('Outport', 'Sin')",23
"('Sin', 'Delay')",50
"('MinMax', 'Squeeze')",67
"('Sum', 'PermuteDimensions')",33
"('PermuteDimensions', 'Outport')",40
"('Squeeze', 'SubSystem')",7
"('SubSystem', 'MinMax')",5
"('Sin', 'Inport')",35
"('Delay', 'Sin')",73
"('Outport', 'Squeeze')",41
"('MinMax', 'Constant')",95
"('Sin', 'Sum')",43
"('Outport', 'PermuteDimensions')",15
"('Sin', 'Constant')",27
"('MinMax', 'Sin')",35
"('Sin', 'Outport')",36
"('PermuteDimensions', 'Inport')",29
"('MinMax', 'SubSystem')",4
"('SubSystem', 'Squeeze')",8
"('Outport', 'MinMax')",28
"('Constant', 'MinMax')",84
"('Constant', 'SubSystem')",22
"('SubSystem', 'PermuteDimensions')",6
"('PermuteDimensions', 'SubSystem')",2
"('SubSystem', 'Sin')",3
"('Sin', 'SubSystem')",6
"('SubSystem', 'Sum')",2
"('Gain', 'Bias')",2
"('Bias', 'Outport')",3
"('DotProduct', 'Sqrt')",46
"('Bias', 'Inport')",3
"('Demux', 'Terminator')",4
"('SubSystem', 'Display')",15
"('Bias', 'Reference')",4
"('Bias', 'Delay')",9
"('unknown', 'unknown')",22
"('unknown', 'Sqrt')",4
"('Sqrt', 'DiscreteTransferFcn')",3
"('DiscreteTransferFcn', 'Product')",3
"('Product', 'Inport')",33
"('Constant', 'DiscreteTransferFcn')",6
"('Reference', 'Sin')",2
"('Sqrt', 'Assignment')",21
"('Sin', 'Terminator')",2
"('Rounding', 'Delay')",8
"('Inport', 'DigitalClock')",85
"('ToWorkspace', 'Outport')",62
"('Display', 'ToWorkspace')",38
"('Outport', 'Terminator')",24
"('Sum', 'ToWorkspace')",3
"('Outport', 'Display')",97
"('Inport', 'UnitDelay')",77
"('Delay', 'Bias')",12
"('Inport', 'Bias')",49
"('Bias', 'Bias')",3
"('Delay', 'Math')",8
"('Inport', 'Assignment')",95
"('ComplexToMagnitudeAngle', 'Sqrt')",2
"('Outport', 'Math')",2
"('Gain', 'Inport')",4
"('Delay', 'Gain')",3
"('Constant', 'ComplexToMagnitudeAngle')",37
"('DotProduct', 'Polyval')",2
"('Outport', 'unknown')",9
"('UnaryMinus', 'Product')",29
"('Sin', 'Reference')",7
"('Reshape', 'ComplexToMagnitudeAngle')",42
"('ToWorkspace', 'Reference')",60
"('Sum', 'Assignment')",3
"('Signum', 'Inport')",62
"('ComplexToMagnitudeAngle', 'Product')",2
"('SubSystem', 'Product')",2
"('unknown', 'Product')",7
"('Outport', 'ComplexToMagnitudeAngle')",101
"('SubSystem', 'ComplexToMagnitudeAngle')",2
"('Sum', 'unknown')",6
"('ComplexToMagnitudeAngle', 'Inport')",28
"('Delay', 'Rounding')",2
"('Constant', 'Trigonometry')",64
SignalGenerator,19
"('Clock', 'ToWorkspace')",2
"('Inport', 'Abs')",71
"('Abs', 'Outport')",56
"('Abs', 'Inport')",19
"('Trigonometry', 'Inport')",101
"('Inport', 'Trigonometry')",284
"('Product', 'Terminator')",56
"('Squeeze', 'Reference')",42
"('UnaryMinus', 'Inport')",2
FromWorkspace,10
ToFile,23
"('Demux', 'Outport')",7
"('FromWorkspace', 'Demux')",7
"('DiscreteTransferFcn', 'DataTypeConversion')",134
"('DataTypeConversion', 'Reference')",165
"('DiscreteStateSpace', 'DataTypeConversion')",203
"('DataTypeConversion', 'DiscreteTransferFcn')",161
"('DataTypeConversion', 'DiscreteFir')",466
"('DiscreteZeroPole', 'DataTypeConversion')",136
"('DiscreteFir', 'DataTypeConversion')",339
"('DataTypeConversion', 'DiscreteZeroPole')",139
"('DataTypeConversion', 'DiscreteStateSpace')",220
"('Inport', 'DataTypeConversion')",227
"('DataTypeConversion', 'Inport')",83
"('DataTypeConversion', 'Outport')",64
"('SubSystem', 'DataTypeConversion')",235
"('DataTypeConversion', 'SubSystem')",231
"('Outport', 'DataTypeConversion')",78
"('DiscreteStateSpace', 'Inport')",9
"('DiscreteStateSpace', 'Outport')",79
"('DiscreteStateSpace', 'SubSystem')",15
"('DiscreteZeroPole', 'SubSystem')",19
"('DiscreteFir', 'Inport')",33
"('DiscreteFir', 'SubSystem')",19
"('DataTypeConversion', 'DataTypeConversion')",5
"('DataTypeConversion', 'DiscreteIntegrator')",8
"('DiscreteTransferFcn', 'SubSystem')",12
"('Reference', 'Display')",74
"('Sin', 'DataTypeConversion')",9
"('SignalGenerator', 'DataTypeConversion')",4
"('Step', 'DataTypeConversion')",5
"('SubSystem', 'Scope')",3
"('SubSystem', 'Terminator')",7
"('Delay', 'Terminator')",57
"('UnitDelay', 'DataTypeConversion')",8
"('Delay', 'Scope')",3
"('If', 'SubSystem')",182
"('RandomNumber', 'DataTypeConversion')",4
"('Constant', 'DataTypeConversion')",7
"('DiscreteFilter', 'DataTypeConversion')",9
"('DigitalClock', 'DataTypeConversion')",3
"('DataTypeConversion', 'UnitDelay')",7
"('DataTypeConversion', 'ToWorkspace')",8
"('DataTypeConversion', 'ToFile')",6
"('DataTypeConversion', 'If')",30
"('Ground', 'DataTypeConversion')",3
"('Clock', 'DataTypeConversion')",2
"('Constant', 'ToWorkspace')",2
"('Delay', 'Assignment')",59
"('Assignment', 'Reference')",85
"('Trigonometry', 'Assignment')",29
"('Trigonometry', 'SubSystem')",22
"('Assignment', 'Trigonometry')",28
"('Assignment', 'Sqrt')",36
"('Sqrt', 'Trigonometry')",43
"('Assignment', 'Inport')",41
"('Sqrt', 'SubSystem')",22
"('Trigonometry', 'Sqrt')",30
"('SubSystem', 'Trigonometry')",23
"('Assignment', 'SubSystem')",23
"('SubSystem', 'Assignment')",26
"('SubSystem', 'Sqrt')",24
"('Reshape', 'Reference')",3
"('Delay', 'Reshape')",93
"('Reshape', 'Outport')",71
"('Outport', 'Trigonometry')",123
"('unknown', 'Sum')",3
"('Sum', 'Rounding')",2
"('Gain', 'Reference')",5
"('Constant', 'Gain')",4
"('DiscreteFir', 'Product')",2
"('Reshape', 'Inport')",13
"('Inport', 'Reshape')",49
"('Delay', 'If')",73
