,Sample10.mdl,Sample1001.mdl,Sample1002.mdl,Sample1003.mdl,Sample1008.mdl,Sample1011.mdl,Sample1016.mdl,Sample1020.mdl,Sample1022.mdl,Sample1023.mdl,Sample1025.mdl,Sample1028.mdl,Sample1036.mdl,Sample1038.mdl,Sample1039.mdl,Sample1044.mdl,Sample1050.mdl,Sample1053.mdl,Sample1062.mdl,Sample1075.mdl,Sample1076.mdl,Sample1077.mdl,Sample1081.mdl,Sample1083.mdl,Sample1091.mdl,Sample11.mdl,Sample1108.mdl,Sample111.mdl,Sample1115.mdl,Sample1116.mdl,Sample1117.mdl,Sample1124.mdl,Sample1125.mdl,Sample1127.mdl,Sample1129.mdl,Sample1131.mdl,Sample1139.mdl,Sample1146.mdl,Sample1151.mdl,Sample1152.mdl,Sample1153.mdl,Sample1154.mdl,Sample1155.mdl,Sample1162.mdl,Sample1164.mdl,Sample1168.mdl,Sample117.mdl,Sample1170.mdl,Sample1177.mdl,Sample1181.mdl,Sample1184.mdl,Sample1188.mdl,Sample119.mdl,Sample1195.mdl,Sample1198.mdl,Sample120.mdl,Sample143.mdl,Sample144.mdl,Sample145.mdl,Sample146.mdl,Sample149.mdl,Sample151.mdl,Sample155.mdl,Sample161.mdl,Sample165.mdl,Sample170.mdl,Sample174.mdl,Sample178.mdl,Sample180.mdl,Sample184.mdl,Sample187.mdl,Sample19.mdl,Sample194.mdl,Sample2.mdl,Sample200.mdl,Sample21.mdl,Sample210.mdl,Sample211.mdl,Sample215.mdl,Sample217.mdl,Sample226.mdl,Sample231.mdl,Sample232.mdl,Sample235.mdl,Sample240.mdl,Sample245.mdl,Sample246.mdl,Sample248.mdl,Sample25.mdl,Sample26.mdl,Sample261.mdl,Sample274.mdl,Sample276.mdl,Sample279.mdl,Sample282.mdl,Sample288.mdl,Sample292.mdl,Sample295.mdl,Sample298.mdl,Sample299.mdl,Sample30.mdl,Sample301.mdl,Sample303.mdl,Sample307.mdl,Sample31.mdl,Sample314.mdl,Sample317.mdl,Sample319.mdl,Sample324.mdl,Sample327.mdl,Sample328.mdl,Sample333.mdl,Sample334.mdl,Sample335.mdl,Sample339.mdl,Sample343.mdl,Sample344.mdl,Sample345.mdl,Sample351.mdl,Sample354.mdl,Sample355.mdl,Sample360.mdl,Sample362.mdl,Sample363.mdl,Sample37.mdl,Sample373.mdl,Sample376.mdl,Sample378.mdl,Sample382.mdl,Sample385.mdl,Sample387.mdl,Sample39.mdl,Sample394.mdl,Sample403.mdl,Sample404.mdl,Sample407.mdl,Sample409.mdl,Sample417.mdl,Sample42.mdl,Sample422.mdl,Sample424.mdl,Sample425.mdl,Sample43.mdl,Sample432.mdl,Sample435.mdl,Sample436.mdl,Sample44.mdl,Sample443.mdl,Sample445.mdl,Sample446.mdl,Sample448.mdl,Sample452.mdl,Sample453.mdl,Sample458.mdl,Sample46.mdl,Sample460.mdl,Sample475.mdl,Sample482.mdl,Sample483.mdl,Sample485.mdl,Sample486.mdl,Sample487.mdl,Sample489.mdl,Sample490.mdl,Sample495.mdl,Sample497.mdl,Sample501.mdl,Sample507.mdl,Sample510.mdl,Sample511.mdl,Sample513.mdl,Sample527.mdl,Sample531.mdl,Sample532.mdl,Sample540.mdl,Sample541.mdl,Sample542.mdl,Sample545.mdl,Sample546.mdl,Sample547.mdl,Sample548.mdl,Sample549.mdl,Sample551.mdl,Sample555.mdl,Sample557.mdl,Sample561.mdl,Sample567.mdl,Sample57.mdl,Sample572.mdl,Sample580.mdl,Sample581.mdl,Sample582.mdl,Sample584.mdl,Sample59.mdl,Sample593.mdl,Sample594.mdl,Sample598.mdl,Sample599.mdl,Sample600.mdl,Sample605.mdl,Sample607.mdl,Sample608.mdl,Sample61.mdl,Sample612.mdl,Sample613.mdl,Sample615.mdl,Sample617.mdl,Sample621.mdl,Sample626.mdl,Sample633.mdl,Sample637.mdl,Sample638.mdl,Sample639.mdl,Sample640.mdl,Sample641.mdl,Sample644.mdl,Sample646.mdl,Sample651.mdl,Sample656.mdl,Sample661.mdl,Sample664.mdl,Sample666.mdl,Sample672.mdl,Sample673.mdl,Sample674.mdl,Sample675.mdl,Sample676.mdl,Sample678.mdl,Sample68.mdl,Sample681.mdl,Sample683.mdl,Sample685.mdl,Sample686.mdl,Sample69.mdl,Sample694.mdl,Sample699.mdl,Sample702.mdl,Sample706.mdl,Sample707.mdl,Sample708.mdl,Sample71.mdl,Sample712.mdl,Sample717.mdl,Sample723.mdl,Sample726.mdl,Sample727.mdl,Sample730.mdl,Sample732.mdl,Sample738.mdl,Sample74.mdl,Sample742.mdl,Sample745.mdl,Sample748.mdl,Sample752.mdl,Sample753.mdl,Sample754.mdl,Sample755.mdl,Sample757.mdl,Sample758.mdl,Sample763.mdl,Sample764.mdl,Sample771.mdl,Sample788.mdl,Sample794.mdl,Sample798.mdl,Sample805.mdl,Sample807.mdl,Sample809.mdl,Sample81.mdl,Sample811.mdl,Sample815.mdl,Sample823.mdl,Sample826.mdl,Sample834.mdl,Sample835.mdl,Sample841.mdl,Sample845.mdl,Sample847.mdl,Sample85.mdl,Sample850.mdl,Sample852.mdl,Sample854.mdl,Sample861.mdl,Sample862.mdl,Sample864.mdl,Sample865.mdl,Sample870.mdl,Sample872.mdl,Sample875.mdl,Sample877.mdl,Sample878.mdl,Sample883.mdl,Sample891.mdl,Sample900.mdl,Sample903.mdl,Sample91.mdl,Sample910.mdl,Sample913.mdl,Sample915.mdl,Sample917.mdl,Sample92.mdl,Sample922.mdl,Sample926.mdl,Sample939.mdl,Sample94.mdl,Sample942.mdl,Sample948.mdl,Sample951.mdl,Sample953.mdl,Sample958.mdl,Sample963.mdl,Sample965.mdl,Sample974.mdl,Sample976.mdl,Sample980.mdl,Sample983.mdl,Sample984.mdl,Sample985.mdl,Sample988.mdl,Sample990.mdl,Sample991.mdl,Sample992.mdl,Sample994.mdl,Sample996.mdl,Sample998.mdl
Sample10.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1001.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1002.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1003.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1008.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1011.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1016.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1020.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1022.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample1023.mdl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
