,CloneContent,CloneDetection,CyclomaticComplexity,DescriptiveBlockNames,DiagnosticWarningsCount,ExplicitIOCount,FileCount,IOCount,LayerSeparation,LibraryContent,LibraryLinkCount,MatlabCodeAnalyzerWarnings,MatlabFunctionCount,MatlabLOCCount,ModelAdvisorCheckCompliance.hisl_do178,ModelAdvisorCheckCompliance.maab,ModelAdvisorCheckIssues.hisl_do178,ModelAdvisorCheckIssues.maab,ModelFileCount,ParameterCount,SimulinkBlockCount,StateflowChartCount,StateflowChartObjectCount,StateflowLOCCount,SubSystemCount,SubSystemDepth
Sample1.mdl,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.2638888888888889,0.013888888888888888,0.2638888888888889,0.09722222222222221,0.0,0.0,0.0,0.0,0.0,0.06095679012345679,0.06245143745143744,0.5555555555555556,1.0,0.013888888888888888,0.0,0.7083333333333333,0.0,0.0,0.0,0.05555555555555555,0.0
Sample10.mdl,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02114695340501792,0.02909993232573877,1.0,0.8387096774193548,0.03225806451612903,0.0,0.29032258064516125,0.0,0.0,0.0,0.0,0.0
Sample100.mdl,0.0,0.0,0.044444444444444446,0.0,0.06666666666666667,0.17777777777777778,0.022222222222222223,0.17777777777777778,0.15555555555555556,0.0,0.0,0.0,0.0,0.0,0.05654320987654321,0.059362859362859365,0.7333333333333334,1.0,0.022222222222222223,0.0,0.6,0.0,0.0,0.0,0.044444444444444446,0.0
Sample1000.mdl,0.0,0.0,0.019271948608137045,0.0,0.03854389721627409,0.2997858672376874,0.0021413276231263384,0.2997858672376874,0.19914346895074947,0.0,0.0,0.0,0.0,0.0,0.10578158458244115,0.10300834069570684,0.25910064239828695,1.0,0.0021413276231263384,0.0,0.734475374732334,0.0,0.0,0.0,0.11349036402569594,0.0
Sample1001.mdl,0.0,0.0,1.0,0.0,1.0,0.37142857142857144,0.02857142857142857,0.37142857142857144,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.02857142857142857,1.0,1.0,0.0,0.0,0.0,0.05714285714285714,0.0
Sample1002.mdl,0.0,0.0,0.03529411764705882,0.0,0.023529411764705882,0.1764705882352941,0.011764705882352941,0.1764705882352941,0.08235294117647059,0.0,0.0,0.0,0.0,0.0,0.04954248366013072,0.05010283833813245,0.5529411764705883,1.0,0.011764705882352941,0.0,0.6823529411764706,0.0,0.0,0.0,0.047058823529411764,0.0
Sample1003.mdl,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02114695340501792,0.02932551319648094,1.0,0.4193548387096774,0.03225806451612903,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0
Sample1004.mdl,0.0,0.0,0.05194805194805195,0.0,0.06493506493506494,0.19480519480519481,0.012987012987012988,0.19480519480519481,0.1168831168831169,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,0.057215511760966314,0.6233766233766234,1.0,0.012987012987012988,0.0,0.7792207792207793,0.0,0.0,0.0,0.05194805194805195,0.0
Sample1005.mdl,0.0,0.0,0.0,0.0,0.03076923076923077,0.15384615384615385,0.015384615384615385,0.15384615384615385,0.13846153846153847,0.0,0.0,0.0,0.0,0.0,0.054529914529914535,0.05476062399139323,0.5230769230769231,1.0,0.015384615384615385,0.0,0.7538461538461538,0.0,0.0,0.0,0.046153846153846156,0.0
Sample1006.mdl,0.0,0.0,0.0,0.0,0.0,0.1,0.03333333333333333,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.05444444444444444,0.06083916083916083,1.0,0.8,0.03333333333333333,0.0,0.5,0.0,0.0,0.0,0.03333333333333333,0.0
Sample1008.mdl,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02222222222222222,0.030536130536130534,1.0,0.43333333333333335,0.03333333333333333,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0
Sample1009.mdl,0.0,0.0,0.0,0.0,0.1746031746031746,0.25396825396825395,0.015873015873015872,0.25396825396825395,0.12698412698412698,0.0,0.0,0.0,0.0,0.0,0.055908289241622576,0.05749805749805751,0.5238095238095237,1.0,0.015873015873015872,0.0,0.6666666666666666,0.0,0.0,0.0,0.047619047619047616,0.0
Sample101.mdl,0.0,0.0,0.046153846153846156,0.0,0.046153846153846156,0.24615384615384617,0.015384615384615385,0.24615384615384617,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.06683760683760685,0.0678859601936525,0.6000000000000001,1.0,0.015384615384615385,0.0,0.7384615384615385,0.0,0.0,0.0,0.06153846153846154,0.0
Sample1010.mdl,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0787878787878788,0.08243271879635515,0.9393939393939394,1.0,0.030303030303030304,0.0,0.7272727272727273,0.0,0.0,0.0,0.06060606060606061,0.0
Sample1011.mdl,0.0,0.0,0.0,0.0,0.09375,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.02013888888888889,0.02840909090909091,1.0,0.5625,0.03125,0.0,0.28125,0.0,0.0,0.0,0.0,0.0
Sample1012.mdl,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.02048611111111111,0.02840909090909091,1.0,0.40625,0.03125,0.0,0.1875,0.0,0.0,0.0,0.0,0.0
Sample1015.mdl,0.0,0.0,0.0392156862745098,0.0,0.058823529411764705,0.19607843137254902,0.0196078431372549,0.19607843137254902,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0681917211328976,0.07047854106677635,0.6862745098039216,1.0,0.0196078431372549,0.0,0.6666666666666666,0.0,0.0,0.0,0.058823529411764705,0.0
Sample1016.mdl,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02114695340501792,0.03000225580870742,1.0,0.3870967741935484,0.03225806451612903,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0
Sample1017.mdl,0.0,0.0,0.0967741935483871,0.0,0.03225806451612903,0.1935483870967742,0.03225806451612903,0.1935483870967742,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.05197132616487455,0.05774870290999323,1.0,0.967741935483871,0.03225806451612903,0.0,0.7096774193548387,0.0,0.0,0.0,0.03225806451612903,0.0
