,times
Squeeze,465
Sin,480
Constant,3487
"('Constant', 'Delay')",378
"('Constant', 'Squeeze')",89
"('Constant', 'Reference')",260
Rounding,482
SubSystem,4184
Inport,11300
Abs,457
Product,1456
Outport,7950
Sqrt,923
Sum,1773
If,412
"('Inport', 'Reference')",1232
"('Product', 'Delay')",136
"('Constant', 'Sum')",316
"('Product', 'Sqrt')",89
"('Sqrt', 'If')",85
"('Product', 'Reference')",223
"('Inport', 'Inport')",525
"('If', 'Inport')",35
"('Constant', 'If')",3
"('If', 'Sqrt')",89
"('Sqrt', 'Constant')",17
"('Inport', 'If')",127
"('Sqrt', 'Sqrt')",28
"('Sum', 'Outport')",540
"('Outport', 'Inport')",268
Assignment,439
DotProduct,487
Display,79
Terminator,102
Ground,37
UniformRandomNumber,36
"('Delay', 'Product')",108
"('Product', 'Assignment')",6
"('Trigonometry', 'Product')",29
"('Inport', 'Assignment')",110
"('Inport', 'Sqrt')",203
"('Assignment', 'Outport')",35
"('Sqrt', 'Trigonometry')",44
"('Assignment', 'Reference')",86
"('Delay', 'Outport')",1231
"('If', 'Delay')",84
"('Sqrt', 'Product')",93
"('Inport', 'Product')",232
"('Trigonometry', 'Sqrt')",34
"('If', 'Trigonometry')",2
"('Sqrt', 'Assignment')",23
"('Assignment', 'Inport')",44
"('Sqrt', 'Reference')",141
"('Reference', 'Assignment')",93
"('Inport', 'Delay')",1313
"('Inport', 'Outport')",1096
"('Assignment', 'Delay')",81
"('Reference', 'If')",17
"('Trigonometry', 'Inport')",104
"('Product', 'Inport')",35
"('Sqrt', 'Inport')",78
"('Sqrt', 'Delay')",165
"('Delay', 'Inport')",880
"('Constant', 'Rounding')",2
"('Sqrt', 'Terminator')",2
"('Reference', 'Sqrt')",143
MinMax,419
Scope,157
"('Constant', 'Display')",4
"('Reference', 'Abs')",79
"('MinMax', 'Delay')",91
Gain,473
DataTypeConversion,2020
"('Constant', 'Outport')",250
"('Reference', 'DataTypeConversion')",180
Step,30
"('Product', 'MinMax')",53
"('MinMax', 'Terminator')",40
"('Polyval', 'Product')",48
"('Polyval', 'MinMax')",2
UnaryMinus,431
"('DiscreteFilter', 'Sqrt')",91
"('Inport', 'DiscreteFilter')",135
"('Assignment', 'DiscreteFilter')",5
"('Inport', 'SubSystem')",185
"('SubSystem', 'DiscreteFilter')",3
"('SubSystem', 'Sqrt')",25
"('SubSystem', 'Delay')",309
"('Assignment', 'SubSystem')",24
Reshape,507
Clock,27
"('Inport', 'DiscreteTransferFcn')",20
"('Inport', 'ComplexToRealImag')",83
"('ComplexToRealImag', 'Outport')",65
"('Sin', 'UnitDelay')",3
"('DiscreteTransferFcn', 'Outport')",35
"('Inport', 'Sin')",101
"('Outport', 'Sin')",25
"('Sin', 'Delay')",56
"('Delay', 'Display')",14
"('Constant', 'Assignment')",7
"('Product', 'Trigonometry')",27
"('Trigonometry', 'Sum')",168
"('Sum', 'DiscreteZeroPole')",121
"('Reference', 'Sum')",386
"('Sum', 'Reference')",411
"('Outport', 'Delay')",940
"('Delay', 'Sum')",546
"('Rounding', 'Sum')",3
"('Squeeze', 'Signum')",36
"('Reference', 'Rounding')",4
"('Display', 'Reference')",62
"('Sum', 'Sqrt')",74
"('Sum', 'Rounding')",4
"('Delay', 'MinMax')",82
"('MinMax', 'Sum')",114
"('Rounding', 'Delay')",13
"('Inport', 'Constant')",341
"('Constant', 'Constant')",76
"('Constant', 'Product')",154
"('Product', 'Outport')",239
"('Sum', 'Gain')",3
"('Gain', 'Delay')",10
"('Product', 'Gain')",5
"('Inport', 'Sum')",628
"('Sum', 'Product')",271
"('Product', 'Constant')",122
"('Constant', 'Inport')",146
"('Outport', 'Constant')",202
"('Outport', 'Gain')",3
"('Sum', 'Delay')",606
"('Delay', 'Constant')",328
ToWorkspace,92
DigitalClock,34
"('Inport', 'ToWorkspace')",61
"('Reference', 'Outport')",779
"('Constant', 'Trigonometry')",67
"('ToWorkspace', 'DigitalClock')",2
"('Reference', 'Constant')",150
"('SubSystem', 'Reference')",186
"('Constant', 'SubSystem')",23
"('SubSystem', 'ToWorkspace')",3
"('DigitalClock', 'Outport')",11
"('SubSystem', 'Trigonometry')",24
"('If', 'SubSystem')",184
"('Delay', 'If')",74
"('Sqrt', 'Outport')",251
"('Sum', 'Inport')",193
"('Outport', 'Sqrt')",186
RandomNumber,22
PermuteDimensions,466
"('RandomNumber', 'Outport')",3
"('RandomNumber', 'Reference')",3
"('Reference', 'PermuteDimensions')",11
"('PermuteDimensions', 'UnaryMinus')",2
"('UnaryMinus', 'ComplexToMagnitudeAngle')",2
"('Outport', 'Sum')",374
"('Reference', 'UnaryMinus')",51
"('UnaryMinus', 'Reference')",43
"('Reference', 'Terminator')",107
"('DataTypeConversion', 'DiscreteFilter')",11
"('Sum', 'Display')",2
"('PermuteDimensions', 'Reference')",6
"('Constant', 'PermuteDimensions')",29
"('Constant', 'Terminator')",105
"('Inport', 'PermuteDimensions')",70
"('ComplexToMagnitudeAngle', 'Outport')",164
"('Outport', 'PermuteDimensions')",22
"('PermuteDimensions', 'Delay')",76
"('ComplexToMagnitudeAngle', 'PermuteDimensions')",2
"('PermuteDimensions', 'Outport')",49
"('Outport', 'ComplexToMagnitudeAngle')",102
"('Outport', 'Abs')",80
"('Abs', 'Delay')",16
"('Inport', 'DiscreteIntegrator')",11
"('Abs', 'Outport')",64
"('Outport', 'Reference')",428
"('Constant', 'DiscreteIntegrator')",3
"('Assignment', 'Constant')",2
Record,7
"('Delay', 'Record')",15
"('Assignment', 'Sqrt')",38
"('Delay', 'Assignment')",62
Math,467
"('Product', 'DiscreteFir')",42
"('ComplexToRealImag', 'Product')",4
"('DiscreteFir', 'Sum')",6
"('Sqrt', 'UnitDelay')",3
"('Sum', 'ComplexToMagnitudeAngle')",113
"('DiscreteIntegrator', 'Sum')",5
"('Squeeze', 'Sqrt')",3
"('Sum', 'Squeeze')",128
"('Delay', 'DataTypeConversion')",337
"('Product', 'Sum')",234
"('DataTypeConversion', 'Delay')",335
"('DiscreteZeroPole', 'Outport')",215
"('Step', 'UnitDelay')",2
"('Rounding', 'DiscreteIntegrator')",3
"('DiscreteIntegrator', 'DataTypeConversion')",9
"('Math', 'Reference')",8
"('Constant', 'Math')",6
"('DiscreteFir', 'Scope')",2
Bias,452
"('Product', 'Product')",85
"('Sqrt', 'Sum')",99
"('Sum', 'Sum')",178
"('Reference', 'Product')",258
"('DiscreteFilter', 'Product')",70
"('Outport', 'DiscreteFilter')",155
"('Outport', 'Product')",158
"('DiscreteFilter', 'Constant')",9
"('Delay', 'Sqrt')",121
"('Sqrt', 'Polyval')",35
